11,204,80,1998,4
12,204,80,293,24
21,86,995,1592,20
31,266,567,1351,4
32,266,567,3853,23
41,643,3,2744,5
42,643,3,3126,15
51,409,186,184,7
52,409,186,3402,13
61,261,674,4172,1
71,660,570,4132,20
81,278,918,265,5
91,421,850,1903,1
92,421,850,2090,3
101,192,446,4171,8
102,192,446,3420,12
103,192,446,183,12
111,815,795,1261,1
121,827,905,4696,19
122,827,905,4924,10
123,827,905,427,3
131,60,704,3125,20
132,60,704,2128,16
141,828,537,3873,5
142,828,537,989,19
151,439,221,4272,4
152,439,221,245,17
153,439,221,4046,23
161,718,289,4580,14
171,809,940,465,23
181,296,15,4829,24
182,296,15,4761,3
191,71,550,1380,21
201,740,978,2407,16
202,740,978,1949,12
211,82,471,4368,2
212,82,471,2628,22
213,82,471,2772,7
221,74,744,4593,16
222,74,744,1259,3
231,905,270,932,11
232,905,270,4789,22
233,905,270,868,5
241,892,870,4228,10
242,892,870,1188,13
251,181,804,2084,8
261,515,483,2674,15
271,836,961,913,21
281,768,80,1423,23
282,768,80,1379,2
283,768,80,3129,1
291,621,633,1809,4
292,621,633,3708,17
301,728,152,4335,13
302,728,152,3966,20
311,164,288,2293,22
312,164,288,3849,18
321,519,909,1658,22
322,519,909,2321,10
331,864,131,4602,9
341,987,262,4519,21
342,987,262,3643,10
343,987,262,3122,16
351,419,268,795,17
361,768,23,4719,21
371,67,575,4358,14
372,67,575,745,21
381,448,549,2130,5
382,448,549,3602,14
383,448,549,4993,23
391,709,72,2414,8
401,612,939,3358,10
402,612,939,4729,13
403,612,939,2005,14
411,24,636,662,17
412,24,636,4622,15
413,24,636,599,17
421,612,967,3303,5
431,167,281,3105,3
432,167,281,4363,5
441,939,28,2322,21
442,939,28,2414,22
443,939,28,573,5
451,346,614,4045,15
452,346,614,3372,2
453,346,614,346,6
461,260,736,612,8
462,260,736,1760,20
463,260,736,2906,12
471,898,548,780,1
472,898,548,935,23
481,696,751,4378,12
482,696,751,3440,20
483,696,751,3952,12
491,437,357,2134,2
492,437,357,1449,4
493,437,357,1849,3
501,445,641,2056,13
511,111,763,386,17
521,649,41,3217,13
531,804,488,4200,23
541,366,364,3837,6
542,366,364,436,1
551,638,355,4928,6
561,190,952,1781,19
562,190,952,1571,2
571,557,281,1641,19
581,797,619,2859,7
582,797,619,4922,21
591,865,213,1847,18
592,865,213,1164,3
593,865,213,1011,2
601,956,612,3287,3
602,956,612,931,23
611,916,925,2231,23
621,362,21,2336,2
622,362,21,27,3
631,674,807,4422,1
632,674,807,1903,22
633,674,807,1774,2
641,831,994,4284,8
651,300,807,2939,11
652,300,807,3385,6
661,78,250,1306,10
662,78,250,3580,19
671,278,38,2760,1
672,278,38,1616,15
673,278,38,2128,17
681,747,409,3528,21
691,406,920,682,22
701,859,32,159,9
702,859,32,3526,1
703,859,32,1854,20
711,597,183,3664,19
712,597,183,1715,2
721,495,170,4871,14
722,495,170,1516,22
723,495,170,1945,20
731,20,51,748,23
732,20,51,3002,3
733,20,51,648,5
741,398,440,2279,1
751,581,966,2423,17
761,63,290,1706,13
771,711,589,2141,11
781,460,580,2436,22
791,611,598,684,20
792,611,598,4114,12
801,776,630,4888,2
811,469,123,51,2
821,638,777,1173,15
831,545,563,317,10
841,580,506,1456,19
851,712,924,4636,12
852,712,924,1321,22
861,977,133,1943,5
871,54,994,662,12
872,54,994,995,14
881,489,346,3654,22
891,537,127,1469,11
892,537,127,3514,20
893,537,127,3570,13
901,287,619,2457,1
911,338,122,912,20
912,338,122,4020,17
913,338,122,836,18
921,503,837,4074,9
922,503,837,4503,15
923,503,837,940,9
931,771,940,1197,16
932,771,940,1587,10
941,404,759,1842,10
951,98,445,3971,7
961,108,807,3075,1
962,108,807,897,17
963,108,807,2011,21
971,846,951,3585,3
972,846,951,3984,8
973,846,951,3059,10
981,755,321,3700,12
982,755,321,4499,20
983,755,321,157,23
991,218,524,2265,4
1001,41,850,4437,15
1002,41,850,3757,2
1011,709,967,1541,14
1021,9,880,176,3
1022,9,880,2387,2
1031,399,925,1947,1
1032,399,925,3487,21
1041,421,754,3099,24
1051,558,525,2601,13
1052,558,525,1222,23
1053,558,525,2482,17
1061,582,709,2475,20
1071,568,655,163,11
1081,355,447,4922,13
1091,200,517,2435,22
1101,126,752,4844,5
1111,907,103,1023,10
1112,907,103,4847,10
1121,903,233,867,12
1131,341,334,2608,23
1132,341,334,489,2
1133,341,334,624,6
1141,6,115,2262,24
1151,520,721,2119,18
1152,520,721,2222,1
1153,520,721,3083,23
1161,165,261,3244,14
1162,165,261,2700,23
1171,461,386,478,13
1172,461,386,3211,16
1181,590,952,392,16
1191,229,601,3578,9
1201,552,442,469,14
1202,552,442,4142,14
1211,568,444,4840,18
1212,568,444,1814,20
1221,859,86,4620,5
1222,859,86,3111,7
1231,897,53,1621,12
1232,897,53,132,21
1241,411,860,729,8
1242,411,860,3311,1
1251,912,395,1756,11
1252,912,395,1945,7
1253,912,395,3588,19
1261,739,883,299,24
1262,739,883,3775,16
1263,739,883,2893,19
1271,568,279,211,24
1272,568,279,2121,2
1273,568,279,4453,11
1281,574,663,3217,17
1282,574,663,4520,18
1283,574,663,107,15
1291,203,362,339,2
1292,203,362,3409,23
1293,203,362,3375,13
1301,1000,132,3109,20
1302,1000,132,467,8
1303,1000,132,4740,22
1311,211,276,1487,21
1312,211,276,1446,5
1313,211,276,4501,2
1321,899,675,2396,7
1322,899,675,2282,6
1331,937,939,4262,18
1332,937,939,1083,23
1341,350,884,642,23
1342,350,884,3025,12
1351,131,287,4285,22
1361,925,616,3688,21
1362,925,616,6,9
1363,925,616,1782,10
1371,397,403,681,3
1372,397,403,3886,14
1381,388,263,4685,11
1391,229,826,1452,23
1392,229,826,740,2
1393,229,826,2695,22
1401,386,925,3251,24
1402,386,925,1476,7
1403,386,925,4959,2
1411,303,423,105,13
1412,303,423,1992,2
1413,303,423,4160,6
1421,549,328,2707,5
1422,549,328,1778,13
1423,549,328,3195,12
1431,98,76,152,7
1432,98,76,838,10
1433,98,76,1303,24
1441,342,549,1938,9
1442,342,549,4395,14
1443,342,549,542,21
1451,602,964,2655,10
1452,602,964,4176,16
1453,602,964,388,4
1461,963,339,4477,18
1471,380,762,1752,11
1481,786,428,4506,7
1482,786,428,1055,5
1483,786,428,1097,1
1491,486,594,2847,6
1492,486,594,1000,14
1493,486,594,4735,16
1501,685,896,4697,8
1511,392,371,1421,5
1512,392,371,1342,10
1521,453,550,1683,9
1522,453,550,2452,16
1531,24,250,3252,16
1532,24,250,1653,20
1533,24,250,3796,15
1541,770,689,2525,2
1542,770,689,952,15
1551,313,964,937,2
1561,607,708,783,6
1562,607,708,1374,3
1563,607,708,991,2
1571,665,675,84,15
1572,665,675,1826,17
1581,599,986,3062,11
1582,599,986,626,16
1591,144,852,1852,14
1592,144,852,3025,19
1593,144,852,253,9
1601,300,455,3133,18
1611,781,283,1390,12
1612,781,283,4830,19
1621,207,629,981,19
1631,257,529,559,14
1641,714,599,2867,20
1651,194,39,220,24
1652,194,39,756,7
1661,977,87,3447,10
1671,477,62,3530,22
1681,451,315,3870,12
1682,451,315,2531,3
1691,595,891,474,14
1692,595,891,2361,7
1693,595,891,787,1
1701,357,348,2984,3
1702,357,348,420,15
1711,256,321,2240,14
1712,256,321,431,15
1721,974,599,1531,8
1731,680,644,3868,19
1732,680,644,105,12
1733,680,644,4470,23
1741,55,135,275,8
1751,947,459,2069,10
1761,37,546,1250,3
1762,37,546,31,1
1763,37,546,4235,14
1771,101,864,4479,2
1772,101,864,39,2
1781,374,542,4528,9
1782,374,542,787,20
1783,374,542,2783,16
1791,151,408,3886,1
1792,151,408,3805,7
1801,311,577,1542,18
1802,311,577,2087,22
1803,311,577,2976,12
1811,901,858,3450,22
1812,901,858,4490,5
1821,702,355,829,12
1822,702,355,152,16
1831,275,469,2860,18
1832,275,469,1070,12
1841,914,842,1518,9
1851,986,466,3108,1
1852,986,466,3855,14
1853,986,466,236,8
1861,979,346,4735,10
1862,979,346,1925,4
1863,979,346,3712,4
1871,896,786,4756,11
1881,435,524,3186,22
1882,435,524,287,4
1891,312,384,4166,18
1901,78,269,2552,15
1902,78,269,3253,12
1911,77,13,3154,16
1912,77,13,4274,20
1921,506,82,1298,18
1922,506,82,925,1
1931,919,327,4337,19
1932,919,327,465,6
1941,719,211,220,18
1942,719,211,2194,24
1951,649,188,2602,14
1952,649,188,4584,2
1953,649,188,2104,6
1961,533,692,900,1
1962,533,692,1979,18
1971,309,559,4033,17
1981,567,977,4549,3
1991,150,792,501,10
1992,150,792,4651,17
2001,547,823,1107,5
2002,547,823,2105,19
2003,547,823,4676,12
2011,235,291,3027,11
2012,235,291,2892,10
2013,235,291,2818,6
2021,621,562,485,12
2022,621,562,1994,3
2023,621,562,4697,17
2031,665,981,3473,16
2041,242,855,2698,20
2042,242,855,3516,11
2051,488,697,406,7
2052,488,697,4639,2
2061,553,117,377,24
2071,764,174,1415,24
2081,335,977,4059,16
2082,335,977,3712,20
2083,335,977,413,10
2091,789,492,1805,12
2092,789,492,4081,1
2101,845,724,2739,12
2111,18,34,3157,10
2121,345,96,2221,5
2131,661,557,3443,18
2141,887,120,1506,5
2151,105,853,1810,8
2152,105,853,4172,6
2161,444,925,1937,24
2162,444,925,1457,3
2171,552,628,2031,1
2172,552,628,533,19
2181,936,778,711,1
2182,936,778,2023,20
2183,936,778,2392,8
2191,684,596,158,21
2192,684,596,2732,8
2201,138,340,1680,13
2202,138,340,4936,4
2211,487,649,2300,1
2221,953,6,3718,22
2222,953,6,3279,17
2231,510,878,4927,3
2232,510,878,3524,18
2241,999,912,1899,17
2251,87,166,1156,21
2261,118,359,2948,6
2271,217,204,1545,23
2281,509,725,267,16
2282,509,725,4134,7
2283,509,725,1984,1
2291,155,142,4158,10
2292,155,142,195,24
2301,829,606,1787,3
2302,829,606,497,15
2311,414,545,4089,23
2321,167,111,3408,18
2322,167,111,4903,15
2323,167,111,1390,4
2331,698,575,2408,8
2341,377,978,27,23
2342,377,978,4895,5
2343,377,978,4687,12
2351,282,517,3873,14
2352,282,517,2100,12
2361,450,230,1009,7
2362,450,230,1716,23
2371,101,138,3025,14
2372,101,138,4128,18
2373,101,138,2813,2
2381,679,965,3256,8
2391,830,710,204,24
2392,830,710,3475,17
2401,278,344,4058,18
2402,278,344,1494,16
2411,41,625,4679,2
2421,345,756,1385,1
2422,345,756,481,16
2431,242,163,1014,1
2432,242,163,1959,4
2433,242,163,415,20
2441,3,950,4956,4
2442,3,950,255,3
2443,3,950,4240,7
2451,494,693,3630,23
2452,494,693,4548,7
2453,494,693,2472,4
2461,192,984,3028,9
2462,192,984,723,15
2463,192,984,1039,7
2471,485,206,1822,6
2481,426,651,2754,3
2482,426,651,4462,3
2491,649,617,4357,17
2492,649,617,4621,12
2493,649,617,2483,12
2501,897,991,2766,5
2502,897,991,1606,3
2511,364,255,4875,8
2512,364,255,2486,6
2521,896,408,1166,22
2531,754,590,4607,20
2532,754,590,3741,8
2541,202,993,2851,18
2551,59,78,2156,21
2552,59,78,1876,5
2553,59,78,2494,21
2561,805,967,1870,14
2571,112,399,349,21
2581,280,321,1818,9
2582,280,321,316,9
2583,280,321,350,22
2591,995,904,1480,10
2592,995,904,4238,10
2593,995,904,2753,5
2601,801,931,1795,23
2602,801,931,3721,24
2603,801,931,1254,3
2611,110,872,1907,8
2612,110,872,3525,8
2613,110,872,4202,17
2621,634,339,1757,1
2631,528,972,2424,3
2632,528,972,2778,16
2641,783,254,3618,2
2642,783,254,4284,21
2651,466,658,2727,1
2652,466,658,31,15
2661,517,374,4590,5
2671,253,523,977,9
2672,253,523,4865,3
2673,253,523,1470,11
2681,436,774,2495,4
2691,867,410,2714,18
2701,466,647,1689,9
2711,485,222,484,16
2712,485,222,1336,2
2721,514,666,3092,22
2722,514,666,4945,23
2731,38,848,2893,9
2741,210,455,2741,24
2742,210,455,2131,8
2743,210,455,3808,1
2751,586,566,4971,4
2761,425,101,2772,16
2762,425,101,4491,15
2771,336,359,2657,13
2772,336,359,1299,2
2781,297,373,3164,9
2791,214,180,1545,11
2801,309,850,4705,23
2802,309,850,227,2
2811,840,592,4060,19
2821,350,596,4413,12
2822,350,596,3732,4
2831,111,649,1777,8
2832,111,649,1651,24
2841,188,852,2437,15
2842,188,852,2843,18
